"season","bowler","phase","runs_conceded","balls_bowled","wickets","dot_balls","economy","norm_wickets","norm_dot_balls","norm_economy","clutch_score"
2014,"M Kartik","Powerplay",13,6,0,2,13,0,0.0176991150442478,0.489795918367347,-0.0437
2014,"M Morkel","Death",66,38,4,13,10.42,0.25,0.115044247787611,0.384489795918367,0.1461
2014,"M Morkel","Middle",81,60,2,22,8.1,0.125,0.194690265486726,0.289795918367347,0.1044
2014,"M Morkel","Powerplay",229,207,7,113,6.64,0.4375,1,0.230204081632653,0.5395
2014,"M Muralitharan","Middle",82,62,3,18,7.94,0.1875,0.15929203539823,0.283265306122449,0.132
2014,"M Muralitharan","Powerplay",43,37,1,18,6.97,0.0625,0.15929203539823,0.243673469387755,0.0609
2014,"M Vijay","Middle",13,6,0,2,13,0,0.0176991150442478,0.489795918367347,-0.0437
2014,"M de Lange","Death",7,7,1,2,6,0.0625,0.0176991150442478,0.204081632653061,0.0224
2014,"M de Lange","Middle",12,13,1,4,5.54,0.0625,0.0353982300884956,0.18530612244898,0.0296
2014,"M de Lange","Powerplay",14,6,0,1,14,0,0.00884955752212389,0.530612244897959,-0.0504
2014,"MA Starc","Death",186,130,10,32,8.58,0.625,0.283185840707965,0.309387755102041,0.429
2014,"MA Starc","Middle",39,33,1,13,7.09,0.0625,0.115044247787611,0.248571428571429,0.0472
2014,"MA Starc","Powerplay",194,177,6,82,6.58,0.375,0.725663716814159,0.227755102040816,0.4199
2014,"MC Henriques","Death",14,15,3,7,5.6,0.1875,0.0619469026548673,0.187755102040816,0.1123
2014,"MC Henriques","Middle",31,30,1,10,6.2,0.0625,0.0884955752212389,0.212244897959184,0.0428
2014,"MC Henriques","Powerplay",51,18,0,3,17,0,0.0265486725663717,0.653061224489796,-0.0573
2014,"MG Johnson","Death",155,112,11,38,8.3,0.6875,0.336283185840708,0.297959183673469,0.4836
2014,"MG Johnson","Middle",48,43,0,17,6.7,0,0.150442477876106,0.23265306122449,0.0219
2014,"MG Johnson","Powerplay",247,185,6,80,8.01,0.375,0.707964601769911,0.286122448979592,0.4088
2014,"MK Tiwary","Death",17,6,0,0,17,0,0,0.653061224489796,-0.0653
2014,"MK Tiwary","Middle",11,6,0,3,11,0,0.0265486725663717,0.408163265306122,-0.0329
2014,"MM Sharma","Death",215,125,16,28,10.32,1,0.247787610619469,0.380408163265306,0.6363
2014,"MM Sharma","Middle",76,78,4,32,5.85,0.25,0.283185840707965,0.197959183673469,0.2152
2014,"MM Sharma","Powerplay",166,121,6,58,8.23,0.375,0.513274336283186,0.295102040816327,0.3495
2014,"Mohammed Shami","Death",117,56,3,10,12.54,0.1875,0.0884955752212389,0.471020408163265,0.0919
2014,"Mohammed Shami","Middle",49,57,3,22,5.16,0.1875,0.194690265486726,0.169795918367347,0.1539
2014,"Mohammed Shami","Powerplay",215,168,4,70,7.68,0.25,0.619469026548673,0.27265306122449,0.3086
2014,"NM Coulter-Nile","Death",24,14,1,3,10.29,0.0625,0.0265486725663717,0.379183673469388,0.0075
2014,"NM Coulter-Nile","Powerplay",3,12,1,9,1.5,0.0625,0.079646017699115,0.0204081632653061,0.0594
2014,"P Awana","Death",55,27,3,7,12.22,0.1875,0.0619469026548673,0.457959183673469,0.0853
2014,"P Awana","Middle",56,37,3,12,9.08,0.1875,0.106194690265487,0.329795918367347,0.1114
2014,"P Awana","Powerplay",137,82,3,29,10.02,0.1875,0.256637168141593,0.368163265306122,0.1527
2014,"P Kumar","Death",20,12,2,3,10,0.125,0.0265486725663717,0.36734693877551,0.0462
2014,"P Kumar","Middle",14,6,0,0,14,0,0,0.530612244897959,-0.0531
2014,"P Kumar","Powerplay",47,55,2,30,5.13,0.125,0.265486725663717,0.168571428571429,0.1378
2014,"P Negi","Death",8,6,1,2,8,0.0625,0.0176991150442478,0.285714285714286,0.0142
2014,"P Negi","Middle",68,37,0,6,11.03,0,0.0530973451327434,0.409387755102041,-0.025
2014,"P Suyal","Middle",1,6,1,5,1,0.0625,0.0442477876106195,0,0.0508
2014,"P Suyal","Powerplay",34,15,0,3,13.6,0,0.0265486725663717,0.514285714285714,-0.0435
2014,"PJ Cummins","Death",4,6,1,2,4,0.0625,0.0176991150442478,0.122448979591837,0.0306
2014,"PJ Cummins","Middle",9,6,0,1,9,0,0.00884955752212389,0.326530612244898,-0.03
2014,"PJ Cummins","Powerplay",16,12,1,9,8,0.0625,0.079646017699115,0.285714285714286,0.0328
2014,"PP Chawla","Death",63,52,6,20,7.27,0.375,0.176991150442478,0.255918367346939,0.2525
2014,"PP Chawla","Middle",231,180,8,56,7.7,0.5,0.495575221238938,0.273469387755102,0.4213
2014,"PP Chawla","Powerplay",10,6,0,3,10,0,0.0265486725663717,0.36734693877551,-0.0288
2014,"PP Ojha","Death",53,30,0,6,10.6,0,0.0530973451327434,0.391836734693878,-0.0233
2014,"PP Ojha","Middle",230,172,3,56,8.02,0.1875,0.495575221238938,0.286530612244898,0.2325
2014,"PP Ojha","Powerplay",102,80,2,38,7.65,0.125,0.336283185840708,0.271428571428571,0.1487
2014,"PV Tambe","Death",50,37,3,8,8.11,0.1875,0.0707964601769911,0.290204081632653,0.1047
2014,"PV Tambe","Middle",266,236,12,71,6.76,0.75,0.628318584070796,0.235102040816327,0.615
2014,"PV Tambe","Powerplay",49,31,0,10,9.48,0,0.0884955752212389,0.346122448979592,-0.0081
